CircleName,RegionName,DivisionName,OfficeName,Pincode,OfficeType,Delivery,District,StateName,Latitude,Longitude
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Sasanam B.O,532284,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9460550,84.5850000
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kommusariapalli B.O,532203,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.6068333,84.2365550
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Talatampara B.O,532123,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.469,83.7294
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kondagudem BO,532123,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5835,84.2233
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Ampolu B.O,532404,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.2731111,84.0048333
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Chinavatsavalasa B.O,532404,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.2731111,84.0048333
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Lingalavalasa B.O,532404,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.2731111,84.0048333
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Vatsavalasa B.O,532404,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.2731111,84.0048333
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kandisa B.O,532122,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5263611,83.6318055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Kodisa B.O,532122,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5263611,83.6318055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Tunivada B.O,532122,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5263611,83.6318055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Venkampeta B.O,532122,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.5263611,83.6318055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Bathupuram B.O,532219,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7515556,84.4871121
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Metturu B.O,532219,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7515556,84.4871121
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Vonkuluru B.O,532219,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7515556,84.4871121
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Badupuram B.O,532264,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9009720,84.5533055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Bhogapuram B.O,532264,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9009720,84.5533055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Turakasasanam B.O,532264,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9009720,84.5533055
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Budarisingi BO,532264,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.9445,84.4435
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Gollagandi B.O,532263,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.8831111,84.5829444
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Venkatapuram B.O,532220,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7456388,84.3845833
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Bantukotturu B.O,532220,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7627,84.3865
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Amalakudiya BO,532220,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7442,84.3779
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Parasurampuram BO,532220,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7415,84.2884
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Jhadupalli B.O,532216,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7709444,84.1853880
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Sekharapuram B.O,532216,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7709444,84.1853880
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Banapuram B.O,532216,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,17.0587,80.1252
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Garudakhandi B.O,532220,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7456388,84.3845833
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Pedanarayanapuram B.O,532220,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,18.7456388,84.3845833
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Arakabhadra BO,532312,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,19.1006,84.6139
Andhra Pradesh Circle,Visakhapatnam Region,Srikakulam Division,Rattakanna B.O,532312,BO,Delivery,SRIKAKULAM,ANDHRA PRADESH,19.1174110,84.6861944
